Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2019200820377,1,1,1,1,59,9,2,0,0,0,0,0,9,-1,-1
2019200820384,2,1,1,1,54,8,3,0,0,0,0,0,1,1,1
2019200820402,1,1,1,1,26,6,3,0,0,0,0,0,9,1,1
2019200820402,1,2,2,2,23,5,3,0,0,1,0,0,9,1,1
2019200820405,1,1,3,2,24,5,3,1,1,0,0,2,0,1,4
2019200820433,1,1,1,1,71,10,3,0,0,0,0,0,9,1,1
2019200820433,2,2,1,2,56,9,2,0,0,0,0,0,9,1,10
2019200820453,2,1,1,2,43,7,3,0,0,0,0,0,9,1,1
2019200820455,1,1,3,1,11,3,2,5,2,0,0,0,0,-1,-1
2019200820474,1,1,1,1,43,7,3,0,0,0,0,0,1,1,5
2019200820495,1,1,3,2,69,10,2,1,3,0,0,0,0,1,3
2019200820533,1,1,2,1,11,3,2,0,0,2,0,0,9,-1,-1
2019200820533,2,2,2,2,11,3,3,0,0,2,0,0,9,-1,-1
2019200820661,2,1,1,1,36,7,3,0,0,0,0,0,9,1,2
2019200820683,1,1,1,1,36,7,3,0,0,0,0,0,1,1,8
2019200820754,2,1,1,1,15,3,3,0,0,0,0,0,1,-1,-1
2019200820767,1,1,3,2,2,1,3,6,9,0,0,0,0,1,3
2019200820817,2,1,1,1,37,7,3,0,0,0,0,0,1,1,2
2019200820963,2,1,1,1,29,6,3,0,0,0,0,0,9,1,3
2019200820963,2,2,2,1,37,7,3,0,0,1,0,0,9,1,6
2019200821032,2,1,1,1,40,7,3,0,0,0,0,0,1,1,5
2019200821214,2,1,1,1,31,6,3,0,0,0,0,0,9,1,3
2019200821269,2,1,1,2,24,5,3,0,0,0,0,0,9,1,7
2019200821374,2,1,1,1,58,9,3,0,0,0,0,0,1,1,8
